Filename,ClassId,Pred_1,Conf_1,Pred_2,Conf_2
56,Limit 80km,Limit 80km,1.000000,Limit 80km,1.000000
57,Traffic light,Traffic light,1.000000,Traffic light,1.000000
58,No overtaking,No overtaking,1.000000,No overtaking,1.000000
59,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,1.000000,Prohibition of heavy vehicles transit,1.000000
60,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
61,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
62,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
63,No overtaking,No overtaking,0.999897,No overtaking,1.000000
64,Transit prohibition,Transit prohibition,0.999999,Transit prohibition,0.999997
65,No overtaking,No overtaking,1.000000,No overtaking,1.000000
66,Traffic light,Generic danger,0.602057,Generic danger,0.963794
67,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
68,Limit 80km,Limit 80km,0.999979,Limit 80km,1.000000
69,School,School,0.999797,School,0.999963
70,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
71,Men at work,Men at work,1.000000,Men at work,1.000000
72,Snow,Snow,0.996981,Snow,1.000000
73,Left turn mandatory,Left turn mandatory,0.999972,Left turn mandatory,0.999987
74,Limit 80km,Limit 80km,1.000000,Limit 80km,1.000000
75,Right of way,Right of way,0.999997,Right of way,1.000000
76,Limit 30km,Limit 30km,0.999998,Limit 30km,1.000000
77,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
78,Men at work,Men at work,0.999965,Men at work,0.999986
79,Men at work,Men at work,1.000000,Men at work,0.999984
80,Double curve,Double curve,1.000000,Double curve,1.000000
81,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999999
82,Men at work,Men at work,1.000000,Men at work,1.000000
83,Limit 100km,Limit 100km,0.968036,Limit 100km,0.999906
84,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
85,Mandatory direction straight,Mandatory direction straight,0.999996,Mandatory direction straight,0.999999
86,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
87,Limit 100km,Limit 100km,0.999988,Limit 100km,0.998699
88,Danger of bumps,Danger of bumps,0.999999,Danger of bumps,0.997783
89,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
90,Limit 60km,Limit 60km,0.999998,Limit 60km,1.000000
91,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
92,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
93,Stop,Stop,1.000000,Stop,0.999990
94,Right of way,Right of way,1.000000,Right of way,1.000000
95,Go ahead,Go ahead,0.999884,Go ahead,0.999990
96,Limit 60km,Limit 60km,0.999999,Limit 60km,1.000000
97,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
98,No overtaking,No overtaking,1.000000,No overtaking,1.000000
99,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,1.000000
100,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
101,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
102,Limit 80km,Limit 80km,0.999955,Limit 80km,0.999999
103,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
104,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999996
105,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
106,Mandatory direction straight,Mandatory direction straight,0.999999,Mandatory direction straight,1.000000
107,Men at work,Men at work,1.000000,Men at work,0.999999
108,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999990
109,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
110,Limit 30km,Limit 30km,1.000000,Limit 30km,0.999999
111,Stop,Stop,1.000000,Stop,0.999999
112,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,1.000000,Prohibition of heavy vehicles transit,1.000000
113,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,0.999999
114,Snow,Danger of slipping,0.753719,Snow,0.997072
115,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
116,Pedestrian crossing,Pedestrian crossing,0.999990,Pedestrian crossing,0.999994
117,Cycle crossing,Cycle crossing,0.982139,Cycle crossing,0.999780
118,Limit 30km,Limit 30km,0.999960,Limit 30km,1.000000
119,Wrong way,Wrong way,0.999991,Wrong way,0.999958
120,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
121,Limit 100km,Limit 100km,1.000000,Limit 100km,1.000000
122,Limit 30km,Limit 30km,0.999925,Limit 30km,1.000000
123,Limit 120km,Limit 120km,1.000000,Limit 120km,1.000000
124,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
125,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
126,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
127,Snow,Traffic light,0.812290,Traffic light,0.998735
128,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
129,End limit 80km,End limit 80km,0.999885,End limit 80km,0.999999
130,Directions right and straight,Directions right and straight,1.000000,Directions right and straight,1.000000
131,Limit 60km,Limit 60km,0.999999,Limit 60km,0.999998
132,Stop,Stop,0.999946,Stop,0.999938
133,Give right to pass,Give right to pass,1.000000,Give right to pass,0.999999
134,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
135,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
136,Generic danger,Generic danger,1.000000,Generic danger,1.000000
137,Roundabout,Roundabout,0.998278,Roundabout,0.999985
138,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
139,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
140,End of no overtaking,End of no overtaking,0.999323,End of no overtaking,0.999968
141,Limit 70km,Limit 70km,0.999998,Limit 70km,1.000000
142,End limit 80km,End limit 80km,0.999999,End limit 80km,0.978212
143,Generic danger,Generic danger,0.995075,Generic danger,0.999990
144,Wrong way,Wrong way,1.000000,Wrong way,1.000000
145,Men at work,Men at work,0.999494,Men at work,0.999996
146,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
147,End of no overtaking,End of no overtaking,0.999774,No overtaking,0.998570
148,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,0.999994
149,Double curve,Double curve,1.000000,Double curve,1.000000
150,Limit 100km,Limit 100km,0.999650,Limit 100km,1.000000
151,Asymmetrical bottleneck,Asymmetrical bottleneck,0.674411,Traffic light,0.856889
152,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,1.000000
153,Men at work,Men at work,1.000000,Men at work,0.999993
154,Wrong way,Wrong way,1.000000,Wrong way,1.000000
155,Limit 60km,Limit 60km,0.999999,Limit 60km,1.000000
156,End limit 80km,End limit 80km,0.999937,End limit 80km,1.000000
157,No overtaking,No overtaking,0.999998,No overtaking,1.000000
158,Limit 100km,Limit 100km,1.000000,Limit 100km,1.000000
159,Limit 70km,Limit 70km,0.995088,Limit 70km,0.999998
160,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
161,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,1.000000,Prohibition of heavy vehicles transit,1.000000
162,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
163,Men at work,Men at work,0.727493,Men at work,0.998153
164,Generic danger,Generic danger,0.999982,Generic danger,0.999997
165,No overtaking,No overtaking,1.000000,No overtaking,1.000000
166,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
167,Stop,Stop,1.000000,Stop,0.999990
168,Cycle crossing,Cycle crossing,0.999998,Cycle crossing,0.999999
169,Wrong way,Wrong way,1.000000,Wrong way,1.000000
170,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
171,Mandatory step to the right,Mandatory step to the right,0.999943,Mandatory step to the right,0.999994
172,Traffic light,Traffic light,1.000000,Traffic light,1.000000
173,Men at work,Men at work,1.000000,Men at work,1.000000
174,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999887
175,Limit 30km,Limit 30km,1.000000,Limit 30km,0.999981
176,Limit 60km,Limit 60km,0.986982,Limit 60km,1.000000
177,Roundabout,Roundabout,0.999924,Roundabout,0.999998
178,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
179,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
180,Limit 120km,Limit 120km,1.000000,Limit 120km,0.999990
181,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
182,Directions right and straight,Directions right and straight,1.000000,Directions right and straight,1.000000
183,Men at work,Men at work,1.000000,Men at work,1.000000
184,Dangerous right curve,Dangerous right curve,1.000000,Dangerous right curve,0.999999
185,Men at work,Men at work,1.000000,Men at work,1.000000
186,Generic danger,Generic danger,0.999939,Generic danger,0.999991
187,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
188,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
189,Limit 120km,Limit 120km,0.999931,Limit 120km,1.000000
190,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999908,No overtaking of heavy vehicles,1.000000
191,Cycle crossing,Cycle crossing,0.999693,Cycle crossing,0.999937
192,Right of way,Right of way,1.000000,Right of way,1.000000
193,Mandatory step to the right,Mandatory step to the right,0.999992,Mandatory step to the right,0.999918
194,Wild animals,Wild animals,1.000000,Wild animals,1.000000
195,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
196,Limit 120km,Limit 120km,0.999991,Limit 120km,0.997562
197,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
198,Generic danger,Generic danger,0.546354,Wild animals,0.810112
199,School,School,1.000000,School,0.999993
200,Wrong way,Wrong way,1.000000,Wrong way,1.000000
201,No overtaking,No overtaking,1.000000,No overtaking,1.000000
202,Limit 70km,Limit 70km,0.999995,Limit 70km,1.000000
203,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
204,Wrong way,Wrong way,0.995785,Wrong way,0.988884
205,No overtaking,No overtaking,1.000000,No overtaking,1.000000
206,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
207,Wild animals,Wild animals,0.999928,Wild animals,0.999999
208,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
209,Transit prohibition,Transit prohibition,1.000000,Transit prohibition,1.000000
210,Transit prohibition,Transit prohibition,1.000000,Transit prohibition,1.000000
211,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
212,Men at work,Men at work,1.000000,Men at work,1.000000
213,Limit 80km,Limit 80km,0.999964,Limit 80km,1.000000
214,Men at work,Men at work,1.000000,Men at work,1.000000
215,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
216,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,0.999890
217,Limit 80km,Limit 80km,1.000000,Limit 80km,1.000000
218,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
219,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
220,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
221,Limit 70km,Limit 70km,0.999446,Limit 70km,1.000000
222,Limit 80km,Limit 80km,0.999999,Limit 80km,0.999974
223,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
224,Stop,Stop,1.000000,Stop,0.999999
225,Right of way,Right of way,1.000000,Right of way,1.000000
226,Right of way,Right of way,1.000000,Right of way,1.000000
227,Limit 80km,Limit 80km,1.000000,Limit 80km,1.000000
228,Limit 120km,Limit 120km,1.000000,Limit 120km,1.000000
229,Directions right and straight,Directions right and straight,1.000000,Directions right and straight,0.999993
230,Men at work,Men at work,1.000000,Men at work,1.000000
231,Give right to pass,Give right to pass,1.000000,Give right to pass,0.999999
232,Right turn mandatory,Right turn mandatory,0.999998,Right turn mandatory,0.999701
233,Generic danger,Generic danger,0.999981,Generic danger,1.000000
234,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,0.999978
235,Dangerous left curve,Dangerous left curve,0.876433,Dangerous left curve,0.892330
236,Right of way,Right of way,0.999994,Right of way,1.000000
237,Snow,Traffic light,0.684988,Traffic light,0.999727
238,Limit 70km,Limit 70km,0.999999,Limit 70km,1.000000
239,Generic danger,Generic danger,0.999824,Generic danger,1.000000
240,Right of way,Right of way,1.000000,Right of way,1.000000
241,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
242,Dangerous right curve,Dangerous right curve,1.000000,Dangerous right curve,0.999999
243,Limit 20km,Limit 20km,0.999792,Limit 20km,0.987618
244,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999947,No overtaking of heavy vehicles,1.000000
245,Roundabout,Roundabout,0.918608,Roundabout,0.999986
246,Limit 80km,Limit 80km,0.999990,Limit 80km,0.999586
247,Limit 120km,Limit 120km,0.999476,Limit 120km,1.000000
248,Right of way,Right of way,0.967628,Right of way,0.998422
249,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
250,Dangerous right curve,Dangerous right curve,0.999990,Dangerous right curve,0.999331
251,Stop,Stop,1.000000,Stop,0.999993
252,Limit 20km,Limit 20km,0.999789,Limit 20km,0.991569
253,Directions right and straight,Directions right and straight,1.000000,Directions right and straight,1.000000
254,Left turn mandatory,Left turn mandatory,1.000000,Left turn mandatory,0.999999
255,School,School,1.000000,School,1.000000
256,Mandatory direction straight,Mandatory direction straight,0.999998,Mandatory direction straight,1.000000
257,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
258,Men at work,Men at work,1.000000,Men at work,1.000000
259,Transit prohibition,Transit prohibition,1.000000,Transit prohibition,0.999993
260,Mandatory direction straight,Mandatory direction straight,1.000000,Mandatory direction straight,0.999999
261,Stop,Stop,1.000000,Stop,0.999997
262,Generic danger,Generic danger,0.999977,Generic danger,1.000000
263,Men at work,Men at work,0.999999,Men at work,0.999986
264,Limit 30km,Limit 30km,1.000000,Limit 30km,0.999997
265,Right of way,Directions right and straight,0.456344,Directions right and straight,0.487707
266,Limit 80km,Limit 80km,0.999999,Limit 80km,0.999987
267,Men at work,Men at work,1.000000,Men at work,1.000000
268,Limit 50km,Limit 50km,1.000000,Limit 50km,0.999998
269,Generic danger,Generic danger,1.000000,Generic danger,1.000000
270,Generic danger,Generic danger,0.960886,Generic danger,1.000000
271,Generic danger,Generic danger,0.999997,Generic danger,0.999948
272,Left turn mandatory,Left turn mandatory,1.000000,Left turn mandatory,0.999963
273,No overtaking,No overtaking,0.999949,No overtaking,1.000000
274,Men at work,Men at work,1.000000,Men at work,1.000000
275,Generic danger,Generic danger,0.999891,Generic danger,0.995289
276,Left turn mandatory,Left turn mandatory,1.000000,Left turn mandatory,1.000000
277,Mandatory step to the left,Mandatory step to the left,0.999969,Mandatory step to the left,0.998688
278,Wild animals,Wild animals,1.000000,Wild animals,0.999999
279,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
280,No overtaking,No overtaking,0.999922,No overtaking,1.000000
281,Mandatory direction straight,Mandatory direction straight,0.994334,Mandatory direction straight,0.999907
282,Wild animals,Wild animals,0.999994,Wild animals,0.999999
283,Traffic light,Traffic light,0.973153,Traffic light,0.997959
284,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
285,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
286,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,1.000000
287,Snow,Snow,0.947925,Snow,0.999935
288,Wrong way,Wrong way,1.000000,Wrong way,1.000000
289,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
290,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
291,Wild animals,Wild animals,1.000000,Wild animals,0.999992
292,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
293,Mandatory direction straight,Mandatory direction straight,1.000000,Mandatory direction straight,1.000000
294,Limit 80km,Limit 80km,0.999996,Limit 80km,1.000000
295,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
296,Right turn mandatory,Right turn mandatory,0.999998,Right turn mandatory,0.999986
297,School,School,1.000000,School,1.000000
298,Mandatory direction straight,Mandatory direction straight,1.000000,Mandatory direction straight,1.000000
299,Traffic light,Traffic light,1.000000,Traffic light,1.000000
300,Right of way,Right of way,0.999999,Right of way,1.000000
301,Limit 80km,Limit 80km,1.000000,Limit 80km,1.000000
302,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
303,Stop,Stop,1.000000,Stop,0.999997
304,Limit 70km,Limit 70km,0.999999,Limit 70km,0.999994
305,Limit 60km,Limit 60km,0.999982,Limit 60km,1.000000
306,Go ahead,Go ahead,0.977499,Go ahead,0.991805
307,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
308,Limit 100km,Limit 100km,0.999999,Limit 100km,0.999995
309,Mandatory step to the right,Limit 50km,0.829034,Right turn mandatory,0.420771
310,Dangerous left curve,Dangerous left curve,0.959455,Dangerous left curve,0.975708
311,Intersection with right of way,Intersection with right of way,1.000000,Intersection with right of way,0.999998
312,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
313,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
314,Limit 30km,Limit 30km,0.999616,Limit 30km,0.990285
315,End of no overtaking of heavy vehicles,End of no overtaking of heavy vehicles,1.000000,End of no overtaking of heavy vehicles,0.999995
316,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
317,Roundabout,Roundabout,1.000000,Roundabout,0.999997
318,Wrong way,Wrong way,1.000000,Wrong way,1.000000
319,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
320,Limit 120km,Limit 120km,1.000000,Limit 120km,1.000000
321,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
322,Limit 80km,Limit 80km,0.999996,Limit 80km,1.000000
323,End limit 80km,End limit 80km,0.999973,End limit 80km,1.000000
324,Wild animals,Wild animals,1.000000,Wild animals,1.000000
325,Mandatory direction straight,Mandatory direction straight,0.999999,Mandatory direction straight,0.999991
326,No overtaking,No overtaking,1.000000,No overtaking,1.000000
327,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
328,Limit 120km,Limit 120km,0.999871,Limit 120km,1.000000
329,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
330,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
331,Generic danger,Generic danger,0.999992,Generic danger,0.999999
332,Limit 60km,Limit 60km,0.999906,Limit 60km,1.000000
333,Men at work,Men at work,1.000000,Men at work,1.000000
334,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,0.999990
335,End limit 80km,End limit 80km,0.914897,End limit 80km,0.976095
336,Limit 100km,Limit 100km,1.000000,Limit 100km,0.999999
337,Left turn mandatory,Left turn mandatory,1.000000,Left turn mandatory,1.000000
338,Limit 70km,Limit 70km,0.999993,Limit 70km,1.000000
339,Danger of bumps,Danger of bumps,0.992615,Danger of bumps,0.885930
340,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
341,Cycle crossing,Cycle crossing,0.999495,Cycle crossing,0.999977
342,No overtaking,No overtaking,0.999999,No overtaking,1.000000
343,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
344,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
345,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
346,Generic danger,Generic danger,1.000000,Generic danger,1.000000
347,Limit 100km,Limit 100km,0.999999,Limit 100km,0.999983
348,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
349,School,School,1.000000,School,0.999990
350,Wrong way,Wrong way,1.000000,Wrong way,1.000000
351,Limit 50km,Limit 50km,1.000000,Limit 50km,1.000000
352,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,1.000000,Prohibition of heavy vehicles transit,1.000000
353,Stop,Stop,1.000000,Stop,1.000000
354,Right of way,Right of way,1.000000,Right of way,1.000000
355,Roundabout,Roundabout,0.999762,Roundabout,0.999974
356,Mandatory direction straight,Mandatory direction straight,1.000000,Mandatory direction straight,1.000000
357,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
358,Mandatory step to the right,Mandatory step to the right,0.999987,Mandatory step to the right,0.999992
359,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
360,No overtaking,No overtaking,1.000000,No overtaking,1.000000
361,Mandatory step to the right,Mandatory step to the right,0.986069,Mandatory step to the right,1.000000
362,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
363,Mandatory step to the left,Mandatory step to the left,0.862360,Mandatory step to the left,0.999546
364,Limit 60km,Limit 60km,1.000000,Limit 60km,1.000000
365,Intersection with right of way,Intersection with right of way,0.982817,Intersection with right of way,0.999999
366,Limit 100km,Limit 100km,1.000000,Limit 100km,0.999999
367,Mandatory step to the right,Mandatory step to the right,0.996138,Mandatory step to the right,1.000000
368,Dangerous left curve,Dangerous left curve,0.752454,Wild animals,0.665692
369,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
370,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
371,Generic danger,Generic danger,0.999999,Generic danger,0.999994
372,Limit 60km,Limit 60km,0.999833,Limit 60km,1.000000
373,Limit 80km,Limit 80km,1.000000,Limit 80km,1.000000
374,Traffic light,Danger of bumps,0.817747,Danger of bumps,0.659367
375,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
376,End of no overtaking,End of no overtaking,1.000000,End of no overtaking,0.999996
377,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
378,Limit 30km,Limit 30km,1.000000,Limit 30km,1.000000
379,Generic danger,Generic danger,0.999008,Generic danger,0.999911
380,Dangerous left curve,Dangerous left curve,0.966547,Dangerous left curve,0.984314
381,Give right to pass,Give right to pass,1.000000,Give right to pass,1.000000
382,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
383,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
384,Mandatory direction straight,Mandatory direction straight,0.999998,Mandatory direction straight,1.000000
385,Men at work,Men at work,1.000000,Men at work,1.000000
386,Left turn mandatory,Left turn mandatory,1.000000,Left turn mandatory,1.000000
387,Right of way,Right of way,1.000000,Right of way,1.000000
388,Wrong way,Wrong way,1.000000,Wrong way,1.000000
389,No overtaking,No overtaking,0.999999,No overtaking,1.000000
390,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
391,Right turn mandatory,Right turn mandatory,1.000000,Right turn mandatory,1.000000
392,School,School,1.000000,School,0.999957
393,Limit 50km,Limit 50km,0.999765,Limit 50km,1.000000
394,Limit 30km,Limit 30km,0.999957,Limit 30km,1.000000
395,Limit 80km,Limit 80km,0.999987,Limit 80km,1.000000
396,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
397,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
398,Limit 70km,Limit 70km,1.000000,Limit 70km,1.000000
399,Right of way,Right of way,1.000000,Right of way,1.000000
400,Mandatory step to the right,Mandatory step to the right,1.000000,Mandatory step to the right,1.000000
401,Directions right and straight,Directions right and straight,1.000000,Directions right and straight,1.000000
402,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000,No overtaking of heavy vehicles,1.000000
403,Limit 20km,Limit 20km,0.999959,Limit 20km,0.986137
