Filename,ClassId,Pred,Conf
229,Transit prohibition,Transit prohibition,1.000000
230,Generic danger,Generic danger,0.999988
231,Double curve,Double curve,0.999993
232,Traffic light,Traffic light,0.999931
233,Roundabout,Roundabout,0.999994
234,Limit 100km,Limit 100km,0.999997
235,Give right to pass,Give right to pass,1.000000
236,Limit 30km,Limit 30km,0.999975
237,Limit 30km,Limit 30km,1.000000
238,End limit 80km,End limit 80km,0.999989
239,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
240,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
241,Wrong way,Wrong way,1.000000
242,Asymmetrical bottleneck,Asymmetrical bottleneck,0.999974
243,Stop,Stop,0.999994
244,Limit 70km,Limit 70km,1.000000
245,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
246,Limit 70km,Limit 70km,1.000000
247,Intersection with right of way,Intersection with right of way,1.000000
248,Intersection with right of way,Intersection with right of way,0.999963
249,Give right to pass,Give right to pass,1.000000
250,Limit 120km,Limit 120km,1.000000
251,Transit prohibition,Transit prohibition,1.000000
252,Snow,Snow,1.000000
253,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
254,Stop,Stop,0.999999
255,Limit 30km,Limit 30km,0.999999
256,Intersection with right of way,Intersection with right of way,1.000000
257,No overtaking,No overtaking,1.000000
258,Limit 50km,Limit 50km,1.000000
259,Mandatory direction straight,Mandatory direction straight,0.999997
260,Limit 30km,Limit 30km,0.999946
261,Limit 80km,Limit 80km,1.000000
262,Limit 50km,Limit 50km,1.000000
263,Mandatory step to the right,Mandatory step to the right,1.000000
264,Right of way,Right of way,1.000000
265,Limit 120km,Limit 120km,0.999963
266,Limit 50km,Limit 50km,0.999999
267,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999896
268,Danger of slipping,Danger of slipping,0.999995
269,Intersection with right of way,Intersection with right of way,0.999999
270,Mandatory step to the right,Mandatory step to the right,1.000000
271,Wrong way,Wrong way,1.000000
272,No overtaking,No overtaking,1.000000
273,Give right to pass,Give right to pass,1.000000
274,Danger of slipping,Danger of slipping,0.999979
275,Limit 100km,Limit 100km,0.999998
276,Men at work,Men at work,1.000000
277,Limit 70km,Limit 70km,1.000000
278,Limit 100km,Limit 100km,1.000000
279,Mandatory direction straight,Mandatory direction straight,0.999999
280,Limit 50km,Limit 50km,1.000000
281,Snow,Snow,0.999998
282,End of no overtaking,End of no overtaking,0.999731
283,Mandatory direction straight,Mandatory direction straight,0.999933
284,Danger of bumps,Danger of bumps,0.999950
285,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
286,Give right to pass,Give right to pass,0.999997
287,Mandatory step to the right,Mandatory step to the right,1.000000
288,Wrong way,Wrong way,1.000000
289,Limit 120km,Limit 120km,0.999994
290,Mandatory step to the right,Mandatory step to the right,1.000000
291,Limit 70km,Limit 70km,1.000000
292,Intersection with right of way,Intersection with right of way,1.000000
293,Transit prohibition,Transit prohibition,0.999997
294,Limit 100km,Limit 100km,0.999992
295,No overtaking,No overtaking,1.000000
296,Danger of bumps,Danger of bumps,0.999988
297,Snow,Snow,1.000000
298,Right of way,Right of way,0.999998
299,Mandatory step to the right,Mandatory step to the right,0.999994
300,Limit 100km,Limit 100km,0.999993
301,Limit 70km,Limit 70km,0.999999
302,Mandatory step to the right,Mandatory step to the right,0.999999
303,Limit 70km,Limit 70km,1.000000
304,Give right to pass,Give right to pass,0.999998
305,Give right to pass,Give right to pass,1.000000
306,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
307,Mandatory step to the right,Mandatory step to the right,1.000000
308,Right turn mandatory,Right turn mandatory,0.999980
309,Limit 30km,Limit 30km,1.000000
310,Double curve,Double curve,0.999988
311,Mandatory step to the right,Mandatory step to the right,1.000000
312,Limit 70km,Limit 70km,0.999999
313,No overtaking,No overtaking,0.999999
314,Right of way,Right of way,1.000000
315,Limit 120km,Limit 120km,0.999998
316,Directions left and straight,Directions left and straight,0.999701
317,Right of way,Right of way,1.000000
318,End of no overtaking of heavy vehicles,End of no overtaking of heavy vehicles,0.999954
319,Give right to pass,Give right to pass,0.999984
320,Men at work,Men at work,0.999999
321,No overtaking,No overtaking,1.000000
322,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
323,Limit 50km,Limit 50km,0.999999
324,Limit 80km,Limit 80km,0.999856
325,Limit 30km,Limit 30km,1.000000
326,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999936
327,Right of way,Right of way,0.999993
328,End of no overtaking,End of no overtaking,0.999960
329,Right turn mandatory,Right turn mandatory,0.999749
330,Generic danger,Generic danger,0.999980
331,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999993
332,Limit 30km,Limit 30km,0.999999
333,Snow,Snow,0.999999
334,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
335,Limit 120km,Limit 120km,0.999996
336,Intersection with right of way,Intersection with right of way,0.999999
337,Generic danger,Generic danger,0.999993
338,Limit 100km,Limit 100km,0.997522
339,Limit 30km,Limit 30km,0.999993
340,Limit 70km,Limit 70km,0.999995
341,Limit 80km,Limit 80km,0.999999
342,Limit 30km,Limit 30km,0.999992
343,Limit 120km,Limit 120km,0.999992
344,Limit 50km,Limit 50km,0.999997
345,Limit 80km,Limit 80km,1.000000
346,Limit 80km,Limit 80km,0.999999
347,Stop,Stop,0.999999
348,Limit 120km,Limit 120km,1.000000
349,Limit 70km,Limit 70km,1.000000
350,Mandatory direction straight,Mandatory direction straight,1.000000
351,Transit prohibition,Transit prohibition,1.000000
352,No overtaking,No overtaking,1.000000
353,Right turn mandatory,Right turn mandatory,0.999996
354,Right of way,Right of way,1.000000
355,Directions right and straight,Directions right and straight,0.999979
356,Limit 100km,Limit 100km,0.999996
357,Generic danger,Generic danger,0.999955
358,End of no overtaking of heavy vehicles,End of no overtaking of heavy vehicles,0.999991
359,Intersection with right of way,Intersection with right of way,0.999997
360,Generic danger,Generic danger,1.000000
361,No overtaking,No overtaking,1.000000
362,Limit 100km,Limit 100km,0.999986
363,Limit 100km,Limit 100km,0.999999
364,Right of way,Right of way,0.999937
365,Traffic light,Traffic light,0.999994
366,Right turn mandatory,Right turn mandatory,0.999997
367,Transit prohibition,Transit prohibition,1.000000
368,Generic danger,Generic danger,0.999968
369,Limit 120km,Limit 120km,0.999994
370,End of no overtaking,End of no overtaking,0.999506
371,Generic danger,Generic danger,0.994447
372,Give right to pass,Give right to pass,1.000000
373,Generic danger,Generic danger,1.000000
374,Limit 70km,Limit 70km,0.999999
375,Limit 50km,Limit 50km,0.999994
376,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
377,Limit 80km,Limit 80km,0.999999
378,Intersection with right of way,Intersection with right of way,0.999997
379,Limit 70km,Limit 70km,1.000000
380,Limit 120km,Limit 120km,1.000000
381,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
382,Limit 50km,Limit 50km,1.000000
383,Right turn mandatory,Right turn mandatory,0.999993
384,No overtaking,No overtaking,0.999998
385,Right turn mandatory,Right turn mandatory,0.999980
386,Right turn mandatory,Right turn mandatory,0.999758
387,No overtaking,No overtaking,1.000000
388,Limit 120km,Limit 120km,1.000000
389,Limit 70km,Limit 70km,1.000000
390,Limit 30km,Limit 30km,0.999994
391,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999999
392,Limit 50km,Limit 50km,1.000000
393,Transit prohibition,Transit prohibition,1.000000
394,Intersection with right of way,Intersection with right of way,0.999999
395,Danger of slipping,Danger of slipping,0.999996
396,Limit 70km,Limit 70km,0.999998
397,Mandatory step to the right,Mandatory step to the right,1.000000
398,Right of way,Right of way,1.000000
399,Limit 100km,Limit 100km,0.999998
400,Limit 60km,Limit 60km,1.000000
401,Limit 30km,Limit 30km,1.000000
402,Right of way,Right of way,0.999975
403,Limit 120km,Limit 120km,0.999997
404,Stop,Stop,0.999953
405,Limit 70km,Limit 70km,0.999986
406,Wrong way,Wrong way,0.999999
407,Asymmetrical bottleneck,Asymmetrical bottleneck,0.999994
408,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999993
409,Limit 70km,Limit 70km,0.997820
410,Give right to pass,Give right to pass,1.000000
411,Pedestrian crossing,Pedestrian crossing,0.999895
412,No overtaking,No overtaking,1.000000
413,Limit 50km,Limit 50km,1.000000
414,Limit 50km,Limit 50km,1.000000
415,Stop,Stop,0.999999
416,Wrong way,Wrong way,1.000000
417,No overtaking,No overtaking,0.999994
418,Men at work,Men at work,1.000000
419,Mandatory step to the right,Mandatory step to the right,0.999998
420,Wrong way,Wrong way,1.000000
421,Transit prohibition,Transit prohibition,0.999990
422,Mandatory step to the right,Mandatory step to the right,1.000000
423,Give right to pass,Give right to pass,0.999998
424,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999972
425,Mandatory direction straight,Mandatory direction straight,0.999999
426,Limit 70km,Limit 70km,1.000000
427,Limit 20km,Limit 20km,0.997307
428,Men at work,Men at work,1.000000
429,Right turn mandatory,Right turn mandatory,0.999823
430,No overtaking,No overtaking,0.999972
431,Intersection with right of way,Intersection with right of way,0.999895
432,Intersection with right of way,Intersection with right of way,0.999992
433,Limit 80km,Limit 80km,1.000000
434,Limit 70km,Limit 70km,0.999999
435,Right turn mandatory,Right turn mandatory,0.995679
436,Give right to pass,Give right to pass,0.999998
437,Generic danger,Generic danger,0.999978
438,Wrong way,Wrong way,1.000000
439,Wrong way,Wrong way,1.000000
440,Dangerous right curve,Dangerous right curve,0.999961
441,Give right to pass,Give right to pass,0.999920
442,Limit 80km,Limit 80km,1.000000
443,Danger of slipping,Danger of slipping,0.999965
444,Limit 70km,Limit 70km,1.000000
445,Double curve,Double curve,0.999904
446,Limit 70km,Limit 70km,0.999999
447,Right turn mandatory,Right turn mandatory,0.999993
448,Mandatory step to the right,Mandatory step to the right,0.999998
449,Limit 100km,Limit 100km,0.999989
450,Limit 30km,Limit 30km,0.999434
451,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
452,Limit 50km,Limit 50km,1.000000
453,Limit 100km,Limit 100km,0.999999
454,Limit 70km,Limit 70km,1.000000
455,Limit 20km,Limit 20km,0.999852
456,Men at work,Men at work,0.999993
457,Limit 80km,Limit 80km,0.999945
458,Limit 30km,Limit 30km,0.999998
459,No overtaking,No overtaking,1.000000
460,Wrong way,Wrong way,0.999992
461,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999997
462,Limit 70km,Limit 70km,0.999999
463,End limit 80km,End limit 80km,0.999999
464,Directions left and straight,Directions left and straight,0.999985
465,Limit 70km,Limit 70km,0.999999
466,Go ahead,Go ahead,0.999975
467,Go ahead,Go ahead,0.998292
468,Mandatory direction straight,Mandatory direction straight,1.000000
469,End of no overtaking,End of no overtaking,0.999872
470,Right of way,Right of way,0.999995
471,Give right to pass,Give right to pass,1.000000
472,Mandatory step to the right,Mandatory step to the right,1.000000
473,Mandatory direction straight,Mandatory direction straight,1.000000
474,Men at work,Men at work,0.999998
475,Limit 50km,Limit 50km,1.000000
476,Double curve,Double curve,0.999126
477,Mandatory step to the right,Mandatory step to the right,1.000000
478,Limit 120km,Limit 120km,1.000000
479,No overtaking,No overtaking,1.000000
480,Limit 50km,Limit 50km,1.000000
481,Limit 100km,Limit 100km,1.000000
482,Right of way,Right of way,0.999998
483,Men at work,Men at work,1.000000
484,Stop,Stop,0.999999
485,School,School,0.999976
486,No overtaking,No overtaking,0.999994
487,Stop,Stop,1.000000
488,Limit 30km,Limit 30km,0.999998
489,Men at work,Men at work,0.999304
490,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999884
491,End of no overtaking of heavy vehicles,End of no overtaking of heavy vehicles,0.999999
492,Right of way,Right of way,0.999998
493,Mandatory direction straight,Mandatory direction straight,0.999997
494,Limit 120km,Limit 120km,0.999999
495,Men at work,Men at work,1.000000
496,Directions right and straight,Directions right and straight,0.999969
497,Limit 70km,Limit 70km,0.999995
498,Men at work,Men at work,1.000000
499,Limit 70km,Limit 70km,1.000000
500,Wild animals,Wild animals,0.999981
501,Intersection with right of way,Intersection with right of way,1.000000
502,Limit 60km,Limit 60km,0.999998
503,Wild animals,Wild animals,0.999999
504,Wild animals,Wild animals,1.000000
505,Limit 50km,Limit 50km,1.000000
506,No overtaking,No overtaking,0.999999
507,Danger of slipping,Danger of slipping,0.999996
508,Limit 80km,Limit 80km,0.999941
509,Limit 50km,Limit 50km,1.000000
510,No overtaking,No overtaking,1.000000
511,Right of way,Right of way,1.000000
512,Limit 100km,Limit 100km,0.999999
513,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
514,Limit 50km,Limit 50km,1.000000
515,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
516,Cycle crossing,Cycle crossing,0.999991
517,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
518,Limit 70km,Limit 70km,1.000000
519,Limit 120km,Limit 120km,1.000000
520,Give right to pass,Give right to pass,1.000000
521,Right of way,Right of way,1.000000
522,Limit 70km,Limit 70km,1.000000
523,Limit 120km,Limit 120km,0.999608
524,Generic danger,Generic danger,0.999981
525,Intersection with right of way,Intersection with right of way,0.999999
526,Right of way,Right of way,1.000000
527,Limit 50km,Limit 50km,1.000000
528,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999973
529,Limit 30km,Limit 30km,0.999999
530,Limit 70km,Limit 70km,1.000000
531,Generic danger,Generic danger,0.999997
532,Limit 70km,Limit 70km,1.000000
533,Generic danger,Generic danger,0.999996
534,Give right to pass,Give right to pass,1.000000
535,Limit 80km,Limit 80km,1.000000
536,Wrong way,Wrong way,1.000000
537,Generic danger,Generic danger,0.999999
538,Men at work,Men at work,1.000000
539,Limit 80km,Limit 80km,0.999999
540,Men at work,Men at work,1.000000
541,Mandatory step to the left,Mandatory step to the left,1.000000
542,Mandatory step to the right,Mandatory step to the right,1.000000
543,Limit 100km,Limit 100km,0.999999
544,Stop,Stop,1.000000
545,School,School,0.999999
546,Snow,Snow,1.000000
547,Mandatory direction straight,Mandatory direction straight,0.999999
548,Limit 120km,Limit 120km,0.999997
549,Right of way,Right of way,1.000000
550,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
551,Limit 50km,Limit 50km,0.999989
552,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
553,Give right to pass,Give right to pass,0.999998
554,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
555,Limit 60km,Limit 60km,0.999995
556,Limit 60km,Limit 60km,1.000000
557,Limit 30km,Limit 30km,1.000000
558,Limit 70km,Limit 70km,0.999998
559,Limit 70km,Limit 70km,1.000000
560,Give right to pass,Give right to pass,0.999999
561,Limit 70km,Limit 70km,1.000000
562,Traffic light,Traffic light,0.963616
563,Limit 50km,Limit 50km,0.999999
564,No overtaking,No overtaking,1.000000
565,Limit 60km,Limit 60km,1.000000
566,Mandatory step to the left,Mandatory step to the left,0.999999
567,Double curve,Double curve,0.999549
568,Limit 60km,Limit 60km,1.000000
569,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
570,Generic danger,Generic danger,0.999071
571,Right of way,Right of way,0.999999
572,No overtaking of heavy vehicles,No overtaking of heavy vehicles,0.999952
573,School,School,0.999653
574,Limit 30km,Limit 30km,0.999990
575,No overtaking,No overtaking,0.999998
576,Limit 70km,Limit 70km,1.000000
577,Limit 100km,Limit 100km,0.999985
578,Transit prohibition,Transit prohibition,0.999968
579,Go ahead,Go ahead,0.999898
580,Mandatory direction straight,Mandatory direction straight,0.999996
581,Limit 70km,Limit 70km,0.999999
582,Give right to pass,Give right to pass,1.000000
583,Limit 50km,Limit 50km,1.000000
584,Prohibition of heavy vehicles transit,Prohibition of heavy vehicles transit,0.999986
585,Limit 60km,Limit 60km,0.999997
586,Men at work,Men at work,0.999873
587,Limit 120km,Limit 120km,1.000000
588,Double curve,Double curve,0.999914
589,Cycle crossing,Cycle crossing,0.999857
590,Dangerous right curve,Dangerous right curve,0.999961
591,Mandatory step to the right,Mandatory step to the right,0.999999
592,Left turn mandatory,Left turn mandatory,0.999998
593,Mandatory step to the right,Mandatory step to the right,1.000000
594,No overtaking,No overtaking,1.000000
595,Mandatory step to the right,Mandatory step to the right,0.999999
596,Intersection with right of way,Intersection with right of way,0.999998
597,No overtaking of heavy vehicles,No overtaking of heavy vehicles,1.000000
598,Men at work,Men at work,1.000000
599,Limit 20km,Limit 20km,0.972088
600,Double curve,Double curve,0.999987
601,Transit prohibition,Transit prohibition,0.999411
602,Stop,Stop,0.999999
603,Roundabout,Roundabout,0.999991
604,Limit 70km,Limit 70km,0.999992
605,Intersection with right of way,Intersection with right of way,1.000000
606,Limit 70km,Limit 70km,1.000000
607,Give right to pass,Give right to pass,1.000000
608,Wrong way,Wrong way,1.000000
609,Generic danger,Generic danger,0.999998
610,Limit 30km,Limit 30km,0.935497
611,Traffic light,Traffic light,1.000000
612,Limit 50km,Limit 50km,1.000000
613,Traffic light,Traffic light,0.999990
614,Intersection with right of way,Intersection with right of way,1.000000
615,No overtaking,No overtaking,1.000000
616,Limit 30km,Limit 30km,0.999993
617,Limit 70km,Limit 70km,0.999999
618,Men at work,Men at work,1.000000
619,Generic danger,Generic danger,1.000000
620,Limit 60km,Limit 60km,1.000000
621,Danger of bumps,Danger of bumps,0.999975
622,Intersection with right of way,Intersection with right of way,1.000000
623,Right of way,Right of way,0.999999
624,Wild animals,Wild animals,0.999986
